request_id,log_stream,ts_cloudwatch,duration_ms,billed_ms,memory_mb,max_memory_mb,init_duration_ms
55880744-4f6a-4ed0-aa97-51fb31e6b130,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:34.612000+00:00,1.78,2,128,82,
7d6836b2-b598-4176-9985-63f645868c83,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:35.457000+00:00,1.47,2,128,82,
b5f58fbf-517b-4784-9edf-740b0bb53fbe,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:36.333000+00:00,12.84,13,128,82,
328af84a-498e-4761-9f21-e667b278cd4d,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:53.120000+00:00,41.95,196,128,82,153.31
40c9b28d-1210-4d77-8747-5b37ac530e4c,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:54.001000+00:00,1.59,2,128,82,
c86168fb-0498-4d30-be32-64f9fa1d4d55,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:54.859000+00:00,1.86,2,128,82,
557ebbea-061c-44b0-97e3-f9bbabd088ff,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:55.778000+00:00,1.50,2,128,82,
cdba86a2-d247-45e7-b6ef-f1a669da3076,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:56.671000+00:00,1.46,2,128,82,
833a1856-ad9f-443d-813a-f564727acc6f,2026/09/20/[$LATEST]1296d16a054a4101a5b37843888a8050,2026-09-20T00:56:57.555000+00:00,1.42,2,128,82,
10794498-1617-45d0-8621-580943119e7a,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:14.413000+00:00,27.03,203,128,82,175.07
789537a2-92b3-4066-85ef-5c8301e040d4,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:15.309000+00:00,1.72,2,128,82,
a12ded86-63c9-4f7c-8dfe-6ba71c64055e,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:16.182000+00:00,1.79,2,128,82,
c9d69306-5751-4031-b447-912b6d17f95e,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:17.067000+00:00,1.78,2,128,82,
80e302e0-0c2a-408a-8b15-dc5ab26093a3,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:17.946000+00:00,1.48,2,128,82,
832e4b9e-37a3-4ca0-b72f-48bd3b6d0786,2026/09/20/[$LATEST]65493e083bfd49c3aa3a50249c551516,2026-09-20T00:57:18.878000+00:00,1.42,2,128,82,
