plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error,cw_duration_ms,cw_billed_ms,cw_init_duration_ms,cw_log_stream,resto_red_plataforma_ms
aws-lambda,forzado,13,2,2026-09-19T21:53:28.280,503.5,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,1883,,18a293a0-ebf8-4e8f-aaea-d06f84c7cc66,False,,,1.95,2,,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,501.6
aws-lambda,forzado,13,3,2026-09-19T21:53:29.215,433.0,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,2747,,a9a4ea7f-228e-4016-a287-0f99320ad3bb,False,,,1.48,2,,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,431.5
aws-lambda,forzado,13,4,2026-09-19T21:53:30.149,431.3,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,3610,,007a2d39-fd49-4136-b484-e53aa466ce84,False,,,1.43,2,,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,429.9
aws-lambda,forzado,13,5,2026-09-19T21:53:31.095,445.0,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,4482,,5c11cce6-a8da-4a3d-ae76-ea48ef12e8b7,False,,,1.36,2,,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,443.6
aws-lambda,forzado,14,0,2026-09-19T21:53:46.095,770.0,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,24,,2ad067c0-c8e8-49ef-ac87-7f5f73250331,True,instance_id_cambio,,40.14,200,158.94,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,570.9
aws-lambda,forzado,14,1,2026-09-19T21:53:47.049,450.7,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,925,,5a27b084-9ab7-4d21-a93b-19fc1e4918fa,False,,,1.82,2,,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,448.9
aws-lambda,forzado,14,2,2026-09-19T21:53:48.036,446.0,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,1819,,67c30fc5-2cf6-443c-ab7c-0097f857cc00,False,,,1.72,2,,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,444.3
aws-lambda,forzado,14,3,2026-09-19T21:53:49.011,472.2,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,2735,,a4a6c8e5-eec0-4ba0-bc8e-9dd3d641d3fb,False,,,1.60,2,,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,470.6
aws-lambda,forzado,14,4,2026-09-19T21:53:49.975,459.1,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,3625,,9d2c368d-98f3-4b40-b8fe-0cffee322843,False,,,1.44,2,,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,457.7
aws-lambda,forzado,14,5,2026-09-19T21:53:50.900,422.8,200,4d60d0e0-0769-4791-b413-43bcdaea679f,,4479,,8688d7fc-7420-47a5-8563-f90f2a54049f,False,,,1.54,2,,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,421.3
aws-lambda,forzado,15,0,2026-09-19T21:54:05.918,779.7,200,f2264718-97fa-4b18-a73e-75f905354cf2,,8,,08142268-ccaa-4866-b567-30ac820ddd71,True,instance_id_cambio,,31.70,196,164.21,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,583.8
aws-lambda,forzado,15,1,2026-09-19T21:54:06.849,423.3,200,f2264718-97fa-4b18-a73e-75f905354cf2,,879,,ca0eb2d1-09b2-4105-8c72-ce7c92ae24b3,False,,,1.75,2,,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,421.6
